Model Name,Dep Thresh,AND Thresh,Loop Thresh,Perfect Fitting Traces (%),Average Trace Fitness,Precision,Generalization,Node Size,Arc Size,Cyclicity
heu_top100_dep_0.30_and_0.65_loop_0.95,0.3,0.65,0.95,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.30_and_0.65_loop_0.99,0.3,0.65,0.99,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.65_and_0.65_loop_0.30,0.65,0.65,0.3,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.65_and_0.65_loop_0.65,0.65,0.65,0.65,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.65_and_0.65_loop_0.90,0.65,0.65,0.9,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.65_and_0.65_loop_0.95,0.65,0.65,0.95,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.65_and_0.65_loop_0.99,0.65,0.65,0.99,0.0,0.860362871614127,0.9915922314185036,0.9628734453671528,69,88,0.6956521739130435
heu_top100_dep_0.90_and_0.65_loop_0.30,0.9,0.65,0.3,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.90_and_0.65_loop_0.65,0.9,0.65,0.65,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.90_and_0.65_loop_0.90,0.9,0.65,0.9,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.90_and_0.65_loop_0.95,0.9,0.65,0.95,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.90_and_0.65_loop_0.99,0.9,0.65,0.99,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.95_and_0.65_loop_0.30,0.95,0.65,0.3,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.95_and_0.65_loop_0.65,0.95,0.65,0.65,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.95_and_0.65_loop_0.90,0.95,0.65,0.9,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.95_and_0.65_loop_0.95,0.95,0.65,0.95,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.95_and_0.65_loop_0.99,0.95,0.65,0.99,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.99_and_0.65_loop_0.30,0.99,0.65,0.3,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.99_and_0.65_loop_0.65,0.99,0.65,0.65,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.99_and_0.65_loop_0.90,0.99,0.65,0.9,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.99_and_0.65_loop_0.95,0.99,0.65,0.95,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
heu_top100_dep_0.99_and_0.65_loop_0.99,0.99,0.65,0.99,0.0,0.8559854098631328,0.9907137684074998,0.9384962814836343,70,90,0.7
